6311	1552
6890	82
4242	1047
7961	829
8877	976
5866	1194
3578	1033
2281	577
2289	1547
1553	1266
8805	1090
2407	635
8246	1494
1208	1400
8654	966
1649	724
8748	647
3350	1131
7815	906
8541	533
8753	1123
8946	191
6534	1454
8770	1253
8086	682
8873	1495
5328	1441
6164	391
3632	488
2334	1112
7339	186
1318	655
8322	1002
1786	617
4769	1447
8877	1121
8748	1106
4901	1235
4712	911
1501	1221
6306	649
8894	594
3012	387
8927	67
4260	975
1131	183
2133	306
5050	164
8857	1399
6410	1444
8831	564
8549	482
7153	1391
6871	1187
8916	922
8071	1352
5855	168
6440	1254
1889	996
7168	389
8475	33
8927	239
3612	761
2793	681
8546	127
6555	299
3584	92
8945	1233
1212	54
8894	1300
3088	1241
5175	801
6068	758
7976	74
8880	398
3030	1470
2244	981
3450	1489
1000	1391
373	1114
6973	1270
8748	532
1146	452
1179	1324
4932	717
8894	369
1000	1031
8947	80
8894	1432
6410	408
4262	734
7704	1166
6355	1428
3332	118
8927	331
5608	1084
4107	240
7246	1363
2864	27
8544	1395
6715	1165
8544	637
5851	795
4111	314
8546	937
8652	687
748	1114
4601	276
3934	1560
7894	721
4716	1379
8645	1208
2168	1465
5083	794
8948	1332
1322	3
8894	1430
5478	327
3922	456
7342	775
8948	64
8948	1437
6964	1356
766	339
7296	130
4247	1436
2583	914
8643	997
1	79
8103	667
5112	956
816	850
3080	1123
1367	1485
2138	30
6583	1389
6840	647
55	437
234	1469
38	1383
8873	1253
4400	390
1948	1245
8927	619
8861	1410
8534	205
7792	812
1332	44
4500	927
1896	525
2185	1338
8894	1332
5686	235
8525	570
304	86
666	421
4254	1143
5156	751
8894	1534
8101	1458
7514	1311
7134	762
8813	365
3405	769
4768	18
5050	309
4446	682
5529	752
1535	692
584	84
4417	335
8877	1194
4743	739
7985	1123
8927	600
1882	979
3927	98
8344	367
8569	1492
8488	619
6605	672
4902	849
1780	203
7883	970
8933	703
2036	981
1900	1432
8949	873
8939	618
5489	1504
2550	341
6153	1308
8797	134
1387	405
3621	125
6304	16
1606	806
8503	593
8947	1000
3559	866
1370	754
3606	534
8770	883
8927	734
1884	130
8924	1076
7996	1540
8488	243
8144	815
8947	424
689	442
2397	214
3243	938
6193	740
2479	214
7993	303
6650	1307
6934	1067
8116	1391
5283	1020
8169	1300
3309	1111
3584	19
5574	1445
5214	659
3503	1075
2430	526
5400	776
4823	1470
7707	135
1386	1057
8948	135
8544	267
665	615
7290	1554
7349	677
5487	304
8748	760
8273	782
8680	1028
550	1175
1485	1389
8486	1552
1251	1529
8877	1545
3376	593
8772	1225
7698	987
6366	1244
8945	41
3	1517
2981	619
8829	1167
8924	681
1075	1010
4292	620
7985	786
6286	127
2683	1312
2086	489
4703	1493
8576	113
8948	985
8544	288
8058	1232
8945	1379
2480	722
